transaction_id,transaction_time,card_id,merchant_id,amount,is_fraud
T1112,2025-01-02 10:39:00,C01969,M0451,5.78,0
T4104,2025-01-02 10:53:00,C00020,M0020,61.52,0
T2589,2025-01-02 10:56:00,C01457,M0158,61.23,0
T3559,2025-01-02 11:00:00,C00949,M0322,4.67,0
T4498,2025-01-02 11:03:00,C01977,M0201,33.61,0
T8247,2025-01-02 11:05:00,C00927,M0159,34.03,0
T9666,2025-01-02 11:08:00,C00762,M0367,9.07,0
T5198,2025-01-02 11:23:00,C01681,M0325,15.9,0
T7731,2025-01-02 11:47:00,C01964,M0075,55.91,0
T5944,2025-01-02 11:59:00,C00184,M0393,31.22,0
T3205,2025-01-02 12:09:00,C00850,M0182,22.68,0
T5355,2025-01-02 12:16:00,C01268,M0071,72.48,0
T9798,2025-01-02 12:16:00,C01194,M0437,4.42,0
T3818,2025-01-02 12:19:00,C01380,M0415,19.71,0
T4222,2025-01-02 12:27:00,C01553,M0004,17.45,0
T8796,2025-01-02 12:36:00,C00753,M0220,21.01,0
T1173,2025-01-02 12:38:00,C00234,M0455,14.36,0
T260,2025-01-02 12:40:00,C01985,M0213,28.94,0
T3625,2025-01-02 12:44:00,C00721,M0000,38.32,0
T916,2025-01-02 12:59:00,C01592,M0244,25.38,0
T3485,2025-01-02 13:04:00,C00761,M0447,32.51,0
T6660,2025-01-02 13:24:00,C00843,M0186,18.73,0
T7482,2025-01-02 13:31:00,C00230,M0054,28.37,0
T3521,2025-01-02 13:37:00,C01133,M0303,23.57,0
T3009,2025-01-02 13:41:00,C00299,M0338,31.94,0
T3126,2025-01-02 14:02:00,C00910,M0223,4.71,0
T995,2025-01-02 14:56:00,C01789,M0217,31.92,0
T2670,2025-01-02 14:56:00,C01196,M0049,5.98,0
T3231,2025-01-02 15:12:00,C00361,M0143,12.04,0
T1755,2025-01-02 15:16:00,C01017,M0192,11.37,0
T349,2025-01-02 15:28:00,C01654,M0160,21.56,0
T4372,2025-01-02 15:42:00,C01527,M0181,41.53,0
T3332,2025-01-02 15:44:00,C00549,M0064,15.0,0
T1496,2025-01-02 15:56:00,C00367,M0034,2.06,0
T9310,2025-01-02 16:02:00,C00632,M0376,19.59,0
T8245,2025-01-02 16:13:00,C00864,M0419,15.64,0
T4119,2025-01-02 16:26:00,C01667,M0495,16.89,0
T6917,2025-01-02 16:29:00,C00824,M0001,5.26,0
T9321,2025-01-02 16:31:00,C01952,M0468,28.85,0
T1026,2025-01-02 16:43:00,C00227,M0155,47.59,0
T3309,2025-01-02 16:54:00,C01549,M0295,34.85,0
T2404,2025-01-02 17:01:00,C01836,M0369,42.3,0
T5070,2025-01-02 17:02:00,C00449,M0328,85.09,0
T1514,2025-01-02 17:09:00,C01151,M0173,13.51,0
T1108,2025-01-02 17:22:00,C01390,M0306,12.45,0
T9077,2025-01-02 17:26:00,C01984,M0165,11.91,0
T8222,2025-01-02 18:03:00,C01627,M0037,5.34,0
T5380,2025-01-02 18:17:00,C00477,M0348,10.13,0
T2648,2025-01-02 18:19:00,C00293,M0112,41.5,0
T2743,2025-01-02 18:31:00,C00375,M0319,48.15,0
T257,2025-01-02 18:37:00,C01050,M0171,14.27,0
T6671,2025-01-02 18:47:00,C01092,M0118,96.25,0
T86,2025-01-02 18:48:00,C01882,M0234,8.43,0
T1207,2025-01-02 18:53:00,C00079,M0084,47.95,0
T9772,2025-01-02 19:00:00,C01836,M0230,2.45,0
T7237,2025-01-02 19:01:00,C00818,M0379,15.9,0
T4358,2025-01-02 19:01:00,C00216,M0493,16.69,0
T2785,2025-01-02 19:11:00,C00718,M0293,10.29,0
T4233,2025-01-02 19:11:00,C01573,M0277,7.87,0
T2892,2025-01-02 19:17:00,C01430,M0242,51.79,0
T3920,2025-01-02 19:30:00,C01620,M0141,57.56,0
T9732,2025-01-02 19:40:00,C00394,M0148,41.6,0
T6867,2025-01-02 19:57:00,C01004,M0245,47.95,0
T4082,2025-01-02 20:02:00,C01530,M0034,6.87,0
T2632,2025-01-02 20:03:00,C00761,M0100,40.26,0
T2894,2025-01-02 20:19:00,C01069,M0235,19.04,0
T141,2025-01-02 20:53:00,C01996,M0051,5.94,0
T89,2025-01-02 20:55:00,C01040,M0262,5.21,0
T3895,2025-01-02 21:08:00,C01497,M0385,39.78,0
T6141,2025-01-02 21:16:00,C01229,M0036,48.97,0
T1113,2025-01-02 21:17:00,C01020,M0030,5.96,0
T1526,2025-01-02 21:19:00,C01047,M0163,4.55,0
T8562,2025-01-02 21:39:00,C01822,M0226,6.05,0
T3587,2025-01-02 21:45:00,C00309,M0272,2.65,0
T27,2025-01-02 21:47:00,C00505,M0301,11.7,0
T8746,2025-01-02 22:03:00,C00834,M0100,10.59,0
T4360,2025-01-02 22:03:00,C01816,M0213,7.88,0
T8157,2025-01-02 22:05:00,C00195,M0055,9.11,0
T4662,2025-01-02 22:15:00,C00337,M0280,21.08,0
T6726,2025-01-02 22:19:00,C01375,M0434,35.7,0
T6070,2025-01-02 22:35:00,C00646,M0370,15.31,0
T3918,2025-01-02 22:40:00,C00185,M0075,15.32,0
T9391,2025-01-02 22:41:00,C00398,M0184,52.7,0
T6278,2025-01-02 22:49:00,C01709,M0145,20.44,0
T9240,2025-01-02 22:50:00,C01889,M0438,8.64,0
T207,2025-01-02 22:51:00,C00329,M0344,20.04,0
T9838,2025-01-02 23:17:00,C01050,M0384,10.35,0
T2597,2025-01-02 23:19:00,C00139,M0132,18.19,0
T5910,2025-01-02 23:21:00,C00569,M0016,4.99,0
T8047,2025-01-02 23:30:00,C00982,M0434,81.95,0
T5023,2025-01-02 23:46:00,C01951,M0152,27.44,0
T265,2025-01-02 23:49:00,C01329,M0446,80.93,0
T3804,2025-01-02 23:51:00,C00780,M0111,42.38,0
T5964,2025-01-03 00:01:00,C01808,M0014,20.73,0
T5906,2025-01-03 00:07:00,C00285,M0215,37.08,0
T9023,2025-01-03 00:09:00,C01739,M0000,43.6,0
T4385,2025-01-03 00:10:00,C01602,M0498,33.07,0
T6815,2025-01-03 00:12:00,C00124,M0470,83.31,0
T6357,2025-01-03 00:15:00,C01192,M0297,9.15,0
T212,2025-01-03 00:31:00,C00258,M0461,11.43,0
T1762,2025-01-03 00:40:00,C01019,M0131,7.84,0
T8965,2025-01-03 01:16:00,C00163,M0053,6.27,0
T5884,2025-01-03 01:22:00,C00811,M0175,10.19,0
T9640,2025-01-03 01:23:00,C01449,M0057,73.8,0
T8162,2025-01-03 01:32:00,C00756,M0486,6.03,0
T1355,2025-01-03 01:43:00,C00840,M0474,94.38,0
T4804,2025-01-03 01:45:00,C01243,M0296,55.72,0
T4089,2025-01-03 01:54:00,C01964,M0336,16.78,0
T5534,2025-01-03 01:54:00,C00039,M0144,12.35,0
T5384,2025-01-03 02:09:00,C00407,M0193,39.2,0
T1491,2025-01-03 02:20:00,C00246,M0147,47.12,0
T372,2025-01-03 02:51:00,C01540,M0385,15.42,0
T7392,2025-01-03 02:52:00,C00233,M0185,86.89,0
T2469,2025-01-03 03:21:00,C00536,M0274,256.55,0
T6073,2025-01-03 03:24:00,C01000,M0147,63.4,0
T6612,2025-01-03 03:29:00,C00969,M0257,22.18,0
T5294,2025-01-03 03:32:00,C00773,M0230,26.99,0
T1600,2025-01-03 03:33:00,C00220,M0216,35.14,0
T6414,2025-01-03 03:54:00,C01738,M0015,29.89,0
T5323,2025-01-03 04:01:00,C01534,M0041,16.43,0
T7219,2025-01-03 04:07:00,C00143,M0323,11.86,0
T5930,2025-01-03 04:39:00,C00269,M0083,14.21,0
T5162,2025-01-03 04:44:00,C01875,M0322,138.71,0
T6422,2025-01-03 04:54:00,C01983,M0389,15.51,0
T5353,2025-01-03 04:58:00,C01991,M0276,65.44,0
T8431,2025-01-03 05:10:00,C00703,M0030,21.83,0
T2314,2025-01-03 05:11:00,C01258,M0234,129.67,0
T8871,2025-01-03 05:16:00,C01143,M0271,22.92,0
T6658,2025-01-03 05:23:00,C00788,M0364,4.4,0
T8985,2025-01-03 05:23:00,C00588,M0158,57.36,0
T6405,2025-01-03 05:45:00,C01212,M0257,28.33,0
T6556,2025-01-03 05:48:00,C00370,M0358,31.02,0
T8331,2025-01-03 05:52:00,C00073,M0270,21.92,0
T3229,2025-01-03 05:56:00,C01832,M0316,18.68,0
T6646,2025-01-03 06:00:00,C00761,M0041,14.45,0
T4608,2025-01-03 06:15:00,C01174,M0429,27.48,0
T8823,2025-01-03 06:18:00,C01842,M0057,27.66,0
T8916,2025-01-03 06:22:00,C01928,M0202,30.86,0
T4770,2025-01-03 06:22:00,C01143,M0110,15.79,0
T476,2025-01-03 06:27:00,C01144,M0437,17.51,0
T3902,2025-01-03 06:33:00,C00896,M0203,13.22,0
T8182,2025-01-03 06:45:00,C00170,M0399,14.68,0
T8279,2025-01-03 06:53:00,C00943,M0115,38.41,0
T6947,2025-01-03 07:17:00,C01354,M0213,60.89,0
T7455,2025-01-03 07:20:00,C00492,M0147,42.48,0
T3074,2025-01-03 07:21:00,C00998,M0178,25.68,0
T6792,2025-01-03 07:26:00,C01708,M0138,142.34,0
T4634,2025-01-03 07:27:00,C01091,M0032,31.65,0
T6025,2025-01-03 07:32:00,C00819,M0470,52.77,0
T405,2025-01-03 07:43:00,C01938,M0014,56.36,0
T9138,2025-01-03 07:46:00,C01693,M0397,27.09,0
T4935,2025-01-03 07:58:00,C01121,M0200,5.21,0
T4698,2025-01-03 08:13:00,C00470,M0341,28.39,0
T466,2025-01-03 08:13:00,C01606,M0118,92.94,0
T7320,2025-01-03 08:25:00,C01384,M0059,13.76,0
T1725,2025-01-03 08:29:00,C01520,M0357,8.28,0
T7253,2025-01-03 08:47:00,C00853,M0059,128.34,0
T8712,2025-01-03 08:52:00,C00485,M0275,112.92,0
T311,2025-01-03 09:00:00,C01655,M0258,12.75,0
T1395,2025-01-03 09:10:00,C01788,M0178,9.23,0
T8102,2025-01-03 09:15:00,C01346,M0283,10.37,0
T284,2025-01-03 09:16:00,C01211,M0059,18.13,0
T7026,2025-01-03 09:23:00,C00502,M0292,24.72,0
T4284,2025-01-03 09:33:00,C00479,M0179,9.07,0
T2569,2025-01-03 09:51:00,C00543,M0076,83.67,0
T6932,2025-01-03 10:11:00,C00020,M0409,6.89,0
T8077,2025-01-03 10:33:00,C00289,M0125,14.73,0
T7002,2025-01-03 10:36:00,C00675,M0370,3.2,0
T7961,2025-01-03 11:03:00,C01336,M0047,22.64,0
T5134,2025-01-03 11:18:00,C01385,M0035,9.2,0
T98,2025-01-03 11:21:00,C00998,M0041,55.23,0
T838,2025-01-03 11:56:00,C01264,M0328,32.07,0
T4226,2025-01-03 12:06:00,C01508,M0230,12.56,0
T9250,2025-01-03 12:21:00,C00135,M0070,11.52,0
T7013,2025-01-03 12:26:00,C00085,M0471,11.61,0
T3282,2025-01-03 12:30:00,C01113,M0065,7.5,0
T2318,2025-01-03 12:31:00,C00676,M0482,12.19,0
T8846,2025-01-03 12:32:00,C01985,M0494,60.42,0
T8377,2025-01-03 12:41:00,C01847,M0306,35.1,0
T3714,2025-01-03 12:42:00,C01412,M0442,39.07,0
T8428,2025-01-03 12:50:00,C01623,M0395,4.76,0
T2018,2025-01-03 12:54:00,C01170,M0164,16.27,0
T6793,2025-01-03 12:59:00,C01500,M0072,49.24,0
T6887,2025-01-03 13:21:00,C00911,M0391,59.38,0
